City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nadvoitsy,88,RU,1552955407,95,63.89,34.27,32.36,4.76
1,yazman,0,SY,1552955407,91,36.74,38.46,44.51,5.55
2,busselton,20,AU,1552955304,35,-33.64,115.35,81.0,8.68
3,mehamn,44,NO,1552955409,81,71.03,27.85,24.53,7.78
4,souillac,90,FR,1552955409,93,45.6,-0.6,46.99,5.82
5,ushuaia,75,AR,1552953600,99,-54.81,-68.31,41.0,23.04
6,salinas,1,US,1552955225,59,36.67,-121.66,77.0,5.82
7,ponta do sol,36,BR,1552955323,91,-20.63,-46.0,71.51,2.42
8,padang,20,ID,1552953600,94,-0.92,100.36,77.0,4.7
9,chuy,8,UY,1552955410,90,-33.69,-53.46,71.69,11.81
10,pimenta bueno,20,BR,1552955411,88,-11.68,-61.19,78.17,2.19
11,paamiut,44,GL,1552955411,100,61.99,-49.67,18.95,31.16
12,penzance,75,GB,1552955406,100,50.12,-5.53,50.0,5.82
13,rikitea,48,PF,1552955411,100,-23.12,-134.97,78.26,19.19
14,luderitz,0,NA,1552955411,91,-26.65,15.16,59.81,7.11
15,mataura,0,NZ,1552955408,78,-46.19,168.86,64.99,4.0
16,fort nelson,75,CA,1552953600,33,58.81,-122.69,59.0,5.82
17,esperance,20,TT,1552955107,69,10.24,-61.45,80.6,9.17
18,hasaki,75,JP,1552954775,54,35.73,140.83,57.99,6.93
19,hithadhoo,92,MV,1552955412,100,-0.6,73.08,84.29,5.77
20,punta arenas,40,CL,1552955006,56,-53.16,-70.91,44.6,8.05
21,butaritari,88,KI,1552955412,100,3.07,172.79,82.4,15.84
22,smithers,75,CA,1552953600,63,54.78,-127.17,51.8,4.7
23,lalibela,36,ET,1552955413,95,12.04,39.05,49.1,1.97
24,lebu,0,ET,1552955413,72,8.96,38.73,47.03,4.65
25,cabo san lucas,5,MX,1552954606,53,22.89,-109.91,77.0,10.29
26,aykhal,32,RU,1552955414,55,65.95,111.51,-12.38,2.75
27,grand-santi,64,GF,1552955414,44,4.27,-54.38,87.26,4.88
28,severo-yeniseyskiy,88,RU,1552955374,87,60.37,93.04,20.57,2.75
29,luau,68,CD,1552955416,98,-10.7,22.23,66.11,2.08
30,pevek,64,RU,1552955416,86,69.7,170.27,-6.53,29.15
31,qaanaaq,0,GL,1552955416,86,77.48,-69.36,-28.58,7.78
32,port lincoln,36,AU,1552955417,92,-34.72,135.86,65.3,6.11
33,bredasdorp,80,ZA,1552954582,94,-34.53,20.04,69.8,2.24
34,marshall,1,US,1552955414,56,39.39,-87.69,45.0,3.36
35,arraial do cabo,20,BR,1552953600,83,-22.97,-42.02,80.6,8.05
36,bud,68,NO,1552954800,96,62.91,6.91,35.6,6.93
37,lagoa,0,PT,1552955417,71,37.14,-8.45,57.0,3.36
38,bonthe,0,SL,1552955419,82,7.53,-12.5,80.06,4.76
39,pacifica,20,US,1552955411,67,37.61,-122.49,73.4,16.11
40,sungairaya,48,ID,1552955386,86,0.7,108.9,78.53,4.43
41,anadyr,0,RU,1552955006,69,64.73,177.51,-11.01,15.66
42,acajutla,0,SV,1552955145,75,13.59,-89.83,75.99,3.0
43,port elizabeth,1,US,1552955417,69,39.31,-74.98,42.8,3.36
44,airai,68,TL,1552955419,74,-8.93,125.41,76.55,2.42
45,saint-philippe,40,CA,1552955310,49,45.36,-73.48,28.99,9.17
46,emerald,12,AU,1552955260,58,-23.53,148.16,84.99,6.93
47,alta floresta,48,BR,1552955420,94,-9.87,-56.08,78.26,2.19
48,geraldton,75,CA,1552953600,54,49.72,-86.95,30.2,2.24
49,avarua,8,CK,1552951800,78,-21.21,-159.78,82.4,9.17
50,kapaa,40,US,1552955301,50,22.08,-159.32,77.0,13.87
51,ardakan,20,IR,1552953600,36,32.31,54.02,46.4,9.17
52,yellowknife,75,CA,1552955115,52,62.45,-114.38,46.4,6.93
53,norman wells,40,CA,1552953600,33,65.28,-126.83,59.0,2.24
54,chokurdakh,56,RU,1552955421,83,70.62,147.9,-13.46,5.21
55,bluff,0,AU,1552955421,75,-23.58,149.07,81.86,4.43
56,konza,0,KE,1552953600,82,-1.74,37.13,66.2,8.05
57,san fernando,0,CL,1552950000,32,-34.58,-70.99,68.0,13.87
58,hobart,75,AU,1552955296,63,-42.88,147.33,70.0,5.82
59,paita,24,PE,1552955422,60,-5.09,-81.11,81.68,8.12
60,xinzhi,20,TW,1552955398,78,22.54,120.62,75.99,4.7
61,hammerfest,40,NO,1552953000,85,70.66,23.68,23.0,9.17
62,san juan,0,AR,1552955298,57,-31.54,-68.53,68.63,3.98
63,albany,75,US,1552955378,37,42.65,-73.75,36.0,5.82
64,port alfred,20,ZA,1552955407,95,-33.59,26.89,70.0,1.01
65,tazovskiy,80,RU,1552955426,80,67.47,78.7,8.51,8.9
66,hermanus,32,ZA,1552954582,86,-34.42,19.24,69.01,5.99
67,dzilam gonzalez,80,MX,1552955426,74,21.28,-88.93,76.55,5.32
68,kurilsk,32,RU,1552955427,83,45.23,147.88,36.41,18.86
69,batamshinskiy,75,KZ,1552953600,92,50.56,58.27,23.0,13.42
70,cape town,0,ZA,1552955290,88,-33.93,18.42,70.0,1.12
71,hilo,20,US,1552955365,44,19.71,-155.08,78.8,11.41
72,innisfail,40,CA,1552955415,52,52.02,-113.95,50.0,5.82
73,kenai,75,US,1552954907,49,60.55,-151.26,48.2,12.75
74,jamestown,68,AU,1552955322,84,-33.21,138.6,71.42,4.76
75,batagay,0,RU,1552955430,54,67.65,134.64,-19.31,2.86
76,dingle,48,PH,1552955430,82,11.0,122.67,77.45,12.71
77,shingu,75,JP,1552953600,81,33.72,135.99,51.8,8.05
78,vaini,0,IN,1552953600,63,15.34,74.49,64.4,3.36
79,port hedland,64,AU,1552953600,55,-20.31,118.58,89.6,6.93
80,castro,64,CL,1552953600,70,-42.48,-73.76,46.4,5.82
81,east london,92,ZA,1552955344,99,-33.02,27.91,75.56,15.95
82,bontang,24,ID,1552955431,96,0.12,117.47,81.05,8.46
83,sao felix do xingu,48,BR,1552955296,94,-6.64,-51.99,77.18,2.19
84,trairi,88,BR,1552955432,100,-3.28,-39.27,82.58,7.9
85,udachnyy,12,RU,1552955432,42,66.42,112.4,-14.9,2.42
86,havre-saint-pierre,75,CA,1552953600,73,50.23,-63.6,19.4,10.29
87,cunha,75,BR,1552953600,88,-23.08,-44.96,75.2,2.24
88,katsuura,90,JP,1552954871,100,33.93,134.5,48.2,11.41
89,russellville,1,US,1552955229,31,35.28,-93.13,60.8,3.36
90,tessalit,0,ML,1552955433,25,20.2,1.01,61.97,3.76
91,coquimbo,0,CL,1552953600,87,-29.95,-71.34,59.0,5.82
92,mayo,90,CA,1552953600,37,63.59,-135.9,53.6,9.17
93,pauini,20,BR,1552955433,84,-7.71,-67.0,83.12,2.42
94,ronda,80,PH,1552955434,96,10.0,123.41,78.35,11.59
95,kaeo,32,NZ,1552954087,67,-35.1,173.78,73.0,8.99
96,shimoda,75,JP,1552955411,54,34.7,138.93,60.01,10.29
97,abu dhabi,0,AE,1552953600,55,24.47,54.37,66.2,4.7
98,namangan,76,UZ,1552953600,50,41.0,71.67,53.6,2.24
99,vostok,0,RU,1552955434,64,46.45,135.83,33.8,2.64
100,vila velha,20,BR,1552955289,94,-3.71,-38.6,78.8,2.24
101,nyurba,0,RU,1552955435,71,63.29,118.35,-2.39,2.64
102,nanortalik,76,GL,1552955199,99,60.14,-45.24,30.56,23.22
103,san quintin,0,PH,1552955435,71,17.54,120.52,74.57,4.09
104,tuktoyaktuk,40,CA,1552953600,74,69.44,-133.03,37.4,24.16
105,sao joao da barra,20,BR,1552950000,78,-21.64,-41.05,82.4,11.41
106,kashan,0,IR,1552950000,36,33.99,51.44,48.2,2.98
107,beringovskiy,36,RU,1552955437,100,63.05,179.32,-3.38,11.7
108,poum,0,MK,1552955437,88,41.28,20.71,31.55,2.08
109,valente,0,BR,1552955438,56,-11.41,-39.46,78.26,5.32
110,broome,36,GB,1552955291,86,52.47,1.45,45.0,4.7
111,provideniya,0,RU,1552953600,61,64.42,-173.23,12.2,2.24
112,scarborough,20,GB,1552955413,87,54.28,-0.41,46.0,2.24
113,tautira,20,PF,1552955002,70,-17.73,-149.15,87.8,4.7
114,bambous virieux,40,MU,1552955343,88,-20.34,57.76,80.6,4.7
115,huilong,100,CN,1552955440,87,28.89,110.18,50.18,2.08
116,velur,40,IN,1552953600,88,10.64,76.16,80.6,3.65
117,uyuni,48,BO,1552955441,17,-20.46,-66.82,49.28,3.98
118,kaitangata,48,NZ,1552955441,86,-46.28,169.85,62.42,5.99
119,la ronge,40,CA,1552953600,52,55.1,-105.3,42.8,4.7
120,romitan,0,UZ,1552953600,62,39.93,64.38,53.6,6.93
121,doha,0,QA,1552953600,37,25.29,51.53,68.0,4.7
122,bubaque,0,GW,1552955441,100,11.28,-15.83,76.37,13.82
123,tasiilaq,68,GL,1552953000,68,65.61,-37.64,26.6,11.41
124,jackson,1,US,1552955427,34,35.61,-88.82,53.01,9.17
125,teya,75,MX,1552954598,54,21.05,-89.07,82.4,6.93
126,constitucion,75,MX,1552955416,24,23.99,-104.67,68.0,25.28
127,matongo,12,BI,1552955443,93,-3.07,29.61,56.66,0.74
128,tahe,88,CN,1552955443,56,52.34,124.71,17.15,4.09
129,barrow,0,AR,1552955443,70,-38.31,-60.23,56.66,9.46
130,kodiak,1,US,1552955389,4,39.95,-94.76,48.2,2.53
131,puerto ayora,0,EC,1552954559,74,-0.74,-90.35,82.4,8.05
132,karpogory,88,RU,1552955444,83,64.0,44.44,35.06,10.36
133,ippy,0,CF,1552955444,63,6.26,21.2,68.9,2.19
134,ribeira grande,20,PT,1552955444,98,38.52,-28.7,61.34,13.6
135,contamana,44,PE,1552955444,72,-7.35,-75.01,83.21,2.64
136,salekhard,24,RU,1552955444,59,66.54,66.62,2.03,5.32
137,muisne,20,EC,1552950000,83,0.61,-80.02,82.4,9.17
138,mahebourg,40,MU,1552955343,88,-20.41,57.7,80.6,4.7
139,hovd,75,NO,1552955415,60,63.83,10.7,39.2,12.75
140,muros,0,ES,1552955410,87,42.77,-9.06,50.0,8.05
141,torbay,40,CA,1552955435,68,47.66,-52.73,26.01,17.22
142,mandalgovi,92,MN,1552955446,70,45.76,106.27,23.54,17.96
143,coihaique,0,CL,1552950000,61,-45.58,-72.07,46.4,17.22
144,mulege,0,MX,1552955446,29,26.88,-111.98,75.38,4.21
145,new norfolk,75,AU,1552955416,59,-42.78,147.06,70.0,4.7
146,mackay,75,CA,1552953600,22,53.65,-115.58,60.8,10.29
147,puerto princesa,40,PH,1552953600,74,9.74,118.73,80.6,4.7
148,carnarvon,0,ZA,1552955447,88,-30.97,22.13,53.42,3.76
149,husavik,12,CA,1552955444,77,50.56,-96.99,36.0,3.0
